"ID Fiche Terrain";"Libellé Sortie";"ID Fiche Fréquentation";"Libellé Territoire";"Code Site";"Libellé Site";"Code Sous Site";"Libellé Sous Site";"Heure Comptage";"Type Activite";"Nb Total";"Nb Adultes";"Nb Enfants";"Autres usages";"Commentaires"
261297;"Les Bris Lannelongue_26/05/2016_14:03_Adrien Privat_2918";261298;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_138";"Les Bris";"EGMP_138_1";"Les Bris Lannelongue";"02:03";;1;;;"";
261299;"Les Bris Plage du soleil_26/05/2016_14:02_Adrien Privat_2936";261300;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_138";"Les Bris";"EGMP_138_2";"Les Bris Plage du soleil";"02:02";;5;;;"";
261301;"Les Cantines_26/05/2016_13:54_Joy_1842";261302;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_151";"Les Cantines - Les Arros - Les Olives";"EGMP_151_1";"Les Cantines";"01:54";;0;0;0;"";
261309;"La Belle Henriette_27/05/2016_15:12_Pauline Momot_4339";261310;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_021";"La Belle Henriette - Pointe d'Arcay";"EGMP_021_1";"La Belle Henriette";"03:12";;1;;;"";
261313;"Banc des Bris Gatseau_28/05/2016_16:09_Jean-Baptiste Bonnin_1983";261314;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_139";"Banc des Bris";"EGMP_139_1";"Banc des Bris Gatseau";"04:09";;0;;;"";
261315;"Banc des Bris Les Bris_28/05/2016_16:08_Jean-Baptiste Bonnin_1994";261316;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_139";"Banc des Bris";"EGMP_139_2";"Banc des Bris Les Bris";"04:08";;0;;;"";
261341;"La Belle Henriette_28/05/2016_15:10_Pauline Momot_4340";261342;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_021";"La Belle Henriette - Pointe d'Arcay";"EGMP_021_1";"La Belle Henriette";"03:10";;0;;;"";
261345;"Les Bris Lannelongue_28/05/2016_16:02_Jean-Baptiste Bonnin_2919";261346;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_138";"Les Bris";"EGMP_138_1";"Les Bris Lannelongue";"04:02";;0;;;"";
261347;"Les Bris Plage du soleil_28/05/2016_16:05_Jean-Baptiste Bonnin_2937";261348;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_138";"Les Bris";"EGMP_138_2";"Les Bris Plage du soleil";"04:05";;9;;;"";
261363;"RNN Banc d_Arguin Zone C_29/05/2016_15:30_SEPANSO_10579";261364;"Bassin d'Arcachon";"BARC_01";"RNN banc d'Arguin";"BARC_01_C";"RNN banc d'Arguin - Centre";"03:30";;0;;;"";
261365;"RNN Banc d_Arguin Zone N_29/05/2016_15:30_SEPANSO_10499";261366;"Bassin d'Arcachon";"BARC_01";"RNN banc d'Arguin";"BARC_01_N";"RNN banc d'Arguin - Nord";"03:30";;0;;;"";
261367;"RNN Banc d_Arguin Zone S_29/05/2016_15:30_SEPANSO_10660";261368;"Bassin d'Arcachon";"BARC_01";"RNN banc d'Arguin";"BARC_01_S";"RNN banc d'Arguin - Sud";"03:30";;0;;;"";
261389;"Les Bris Lannelongue_30/05/2016_17:38_Adrien Privat_2920";261390;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_138";"Les Bris";"EGMP_138_1";"Les Bris Lannelongue";"05:38";;3;;;"";
261391;"Les Bris Plage du soleil_30/05/2016_17:38_Adrien Privat_2938";261392;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_138";"Les Bris";"EGMP_138_2";"Les Bris Plage du soleil";"05:38";;4;;;"";
261415;"Les Bris Lannelongue_02/06/2016_09:42_Adrien Privat_2921";261416;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_138";"Les Bris";"EGMP_138_1";"Les Bris Lannelongue";"09:42";;6;;;"";
261417;"Les Bris Plage du soleil_02/06/2016_09:41_Adrien Privat_2939";261418;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_138";"Les Bris";"EGMP_138_2";"Les Bris Plage du soleil";"09:41";;3;;;"";
261427;"Besselue_03/06/2016_09:54_Loeiza Lancelot_3569";261428;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_072-073";"Besselue - Sud Minimes";"EGMP_073";"Besselue";"09:54";;3;;;"";
