"ID Fiche Terrain";"Libellé Sortie";"ID Fiche Fréquentation";"Libellé Territoire";"Code Site";"Libellé Site";"Heure Comptage";"Nb Total";"Nb Adultes";"Nb Enfants";"Nb Pecheurs Site";"Nb Pecheurs Arrivee";"Nb Pecheurs Départ";"Présence Zone Interdite";"Nb Pecheurs Zone Interdite";"Type Interdiction";"Autres usages";"Commentaires"
261831;"Le Peu/Reserve de Moeze_13/06/2016_17:30_CIGOLOTTI Anne_4158";261832;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_095";"Le Peu /  Réserve de Moëze";"05:30";0;;;;;;;;;"";
261833;"MOUSTERLIN_13/06/2016_18:16_HY_9768";261834;"Finistère Sud";"FINS_02";"Pointe de Mousterlin";"06:16";0;;;0;0;;;;;"";
261835;"PENFOULIC_13/06/2016_18:00_HY_9770";261836;"Finistère Sud";"FINS_07";"Penfoulic";"06:00";3;;;3;0;;"Non";;;"";
261837;"CAP COZ_14/06/2016_19:19_MLR_9774";261838;"Finistère Sud";"FINS_06";"Plage de Cap Coz";"07:19";0;;;0;0;;;;;"";
261839;"KERLEVEN_14/06/2016_19:21_MLR_9776";261840;"Finistère Sud";"FINS_23";"Kerleven";"07:21";4;;;4;0;;;;;"Promeneurs, joggeurs";
261841;"MER BLANCHE_14/06/2016_19:49_MLR_9772";261842;"Finistère Sud";"FINS_01";"Mer Blanche";"07:49";2;;;2;0;;;;;"Promeneurs, joggeurs";"rubalis autour parking empêchant accès mer blanche"
261843;"MOUSTERLIN_14/06/2016_19:05_MLR_9773";261844;"Finistère Sud";"FINS_02";"Pointe de Mousterlin";"07:05";0;;;0;0;;;;;"Autres pêches de loisir";
261845;"PENFOULIC_14/06/2016_19:23_MLR_9775";261846;"Finistère Sud";"FINS_07";"Penfoulic";"07:23";0;;;0;0;;"Non";;;"";
261851;"Boyardville_16/06/2016_08:50_Marion Carsac_2167";261852;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_148";"Boyardville";"08:50";2;;;2;0;;;;;"";
261853;"Ile Callot_16/06/2016_09:35_Ronan Moine_9062";261854;"Pays de Morlaix";"MORL_08";"Ile Callot";"09:35";6;6;0;6;0;;;;;"Promeneurs, joggeurs";
261863;"Gatseau_17/06/2016_09:45_Sarah Olivier_2442";261864;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_137";"Gatseau";"09:45";12;;;10;0;;;;;"";
261867;"Kergarvan > Port du Tinduff_17/06/2016_09:07_Ronan ?_5993";261868;"Rade de Brest";"BRES_05";"Kergarvan > Port du Tinduff (Pen A lan)";"09:07";1;;;;;;;;;"";
