"Libellé Sortie";"Code Enquète";"Membre Association";"Nom Association";"Espéce maille";"declaration Connaissance";"Taille déclarée";"connaissance réglementation";"Utilisation outil";"Source outil";"Type d'outil";"Outil Conforme";"Espèce quantité";"Connaissance quota";"Quantité déclarée";"Unite";"Reglementation Quantité";"Espèce période";"Connaissance Période";"Périodes Déclarées";"Connaissance Règlementation Période";"Informé Législation";"Source information législation";"Conseils consommation"
"2018-10-26-EGMP-SEN-012";"2018-10-26_EGMP_098_385178";;;;;;;"Non";;;;;;;;;;;;;;"";
"2018-09-27-MORL-SEN-011";"2018-09-27_MORL_19_385214";"Non";;"Coque commune";"Oui";30;"Réponse ancienne valeur";"Oui";"Artisanal";"Piges, toiseurs, gabarits";"Oui";"Coque commune";"Oui";3;"kg";"Réponse correcte";"Coque commune";"Oui";"Pas de période";"Réponse correcte";"Oui";"Panneau d'information/affichage | Bouche à oreille (autres pêcheurs, entourage, magasins, structures professionnelles …)";"Oui"
"2018-09-27-MORL-SEN-013";"2018-09-27_MORL_19_385221";"Non";;"Coque commune";"Oui";30;"Réponse ancienne valeur";"Oui";"Campagne de sensibilisation";"Reglette LIFE";"Oui";"Coque commune";"Oui";3;"kg";"Réponse correcte";"Coque commune";"Oui";;"Réponse correcte";"Oui";"Campagne de sensibilisation | Médias (journaux, radios, tv)";"Oui"
"2018-09-27-MORL-SEN-014";"2018-09-27_MORL_19_385228";"Non";;"Coque commune";"Ne sait pas";;"Réponse incorrecte ou NSP";"Non";"Aucun outil";"Aucun outil";;"Coque commune";"Ne sait pas";;;"Réponse incorrecte ou NSP";;"Ne sait pas";;"Ne sait pas";"Non";"Aucune";"Oui"
"2018-09-27-MORL-SEN-015";"2018-09-27_MORL_19_385235";"Non";;"Coque commune";"Oui";30;"Réponse ancienne valeur";"Non";"Aucun outil";"Aucun outil";;"Coque commune";"Oui";2;"kg";"Réponse incorrecte ou NSP";;"Ne sait pas";;"Ne sait pas";"Oui";"Bouche à oreille (autres pêcheurs, entourage, magasins, structures professionnelles …) | Médias (journaux, radios, tv)";"Oui"
"2018-09-27-MORL-SEN-016";"2018-09-27_MORL_19_385242";"Non";;"Coque commune";"Oui";30;"Réponse ancienne valeur";"Non";"Aucun outil";"Aucun outil";;"Coque commune";"Ne sait pas";;;"Réponse incorrecte ou NSP";;"Ne sait pas";;"Ne sait pas";"Oui";"Médias (journaux, radios, tv)";"Oui"
"2018-09-27-MORL-SEN-017";"2018-09-27_MORL_19_385250";"Non";;"Coque commune";"Oui";30;"Réponse ancienne valeur";"Non";"Aucun outil";"Aucun outil";;"Coque commune";"Oui";3;"kg";"Réponse correcte";"Coque commune";"Ne sait pas";;"Ne sait pas";"Oui";"Médias (journaux, radios, tv) | Internet / Applications mobiles";"Oui"
"2018-09-27-MORL-SEN-018";"2018-09-27_MORL_19_385257";"Non";;"Coque commune";"Ne sait pas";;"Réponse incorrecte ou NSP";"Non";"Aucun outil";"Aucun outil";;"Coque commune";"Ne sait pas";;;"Réponse incorrecte ou NSP";"Coque commune";"Ne sait pas";;"Ne sait pas";"Non";"Aucune";"Non renseigné"
"2018-09-27-MORL-SEN-019";"2018-09-27_MORL_19_385264";"Non";;"Coque commune";"Oui";30;"Réponse ancienne valeur";"Non";"Aucun outil";"Aucun outil";;"Coque commune";"Oui";3;"kg";"Réponse correcte";;"Ne sait pas";;"Ne sait pas";"Oui";"Médias (journaux, radios, tv) | Internet / Applications mobiles";"Oui"
"2018-09-27-MORL-SEN-020";"2018-09-27_MORL_19_385271";"Non";;"Coque commune";"Ne sait pas";;"Réponse incorrecte ou NSP";"Non";"Aucun outil";"Aucun outil";;"Coque commune";"Ne sait pas";;;"Réponse incorrecte ou NSP";;"Ne sait pas";;"Ne sait pas";"Non";"Aucune";"Non renseigné"
