"Libellé Sortie";"Code Enquète";"Membre Association";"Nom Association";"Espéce maille";"declaration Connaissance";"Taille déclarée";"connaissance réglementation";"Utilisation outil";"Source outil";"Type d'outil";"Outil Conforme";"Espèce quantité";"Connaissance quota";"Quantité déclarée";"Unite";"Reglementation Quantité";"Espèce période";"Connaissance Période";"Périodes Déclarées";"Connaissance Règlementation Période";"Informé Législation";"Source information législation";"Conseils consommation"
"Port Lazo/Bilfot_19/05/2015_Franck Delisle_3";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_19/05/2015_Miche lGuermeur_1";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_19/05/2015_MylèneLayec+StéphaniePlagaLemanski_1";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_19/05/2015_MylèneLayec+StéphaniePlagaLemanski_2";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_19/05/2015_MylèneLayec+StéphaniePlagaLemanski_3";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_19/05/2015_VincentTrémel+ValérieJaouen_1";;"Non renseigné";;;"espèce sans maille";;;"Oui";;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_19/05/2015_VincentTrémel+ValérieJaouen_2";;"Non renseigné";;;"espèce sans maille";;;"Oui";"Campagne de sensibilisation";"Réglette à visuels (Type Vivarmor)";;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_19/05/2015_VincentTrémel+ValérieJaouen_3";;"Non renseigné";;;"espèce sans maille";;;"Oui";"Artisanal";"Artisanal";;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_19/05/2015_VincentTrémel+ValérieJaouen_4";;"Non renseigné";;;"espèce sans maille";;;"Oui";"Commerce";;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_19/05/2015_VincentTrémel+ValérieJaouen_5";;"Non renseigné";;;"espèce sans maille";;;"Oui";"Artisanal";"Artisanal";;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_21/03/2015_Vincent Trémel_1";;"Non renseigné";;;"espèce sans maille";;;"Oui";"Campagne de sensibilisation";"Reglette LIFE";;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_21/03/2015_Vincent Trémel_2";;"Non renseigné";;;"espèce sans maille";;;"Oui";"Campagne de sensibilisation";"Reglette LIFE";;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_21/03/2015_Vincent Trémel_3";;"Non renseigné";;;"espèce sans maille";;;"Oui";"Campagne de sensibilisation";"Reglette LIFE";;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_21/03/2015_Vincent Trémel_4";;"Non renseigné";;;"espèce sans maille";;;"Oui";"Campagne de sensibilisation";"Reglette LIFE";;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_21/03/2015_Vincent Trémel_5";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_21/03/2015_Vincent Trémel_6";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_21/03/2015_Vincent Trémel_7";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_28/09/2015_Franck Delisle+Léa Mie_1";;"Non renseigné";;;"espèce sans maille";;;"Oui";"Artisanal";;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_28/09/2015_Franck Delisle+Léa Mie_10";;"Non renseigné";;;"espèce sans maille";;;"Oui";"Commerce";"Pied à coulisse FNPPSF";;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_28/09/2015_Franck Delisle+Léa Mie_11";;"Non renseigné";;;"espèce sans maille";;;"Oui";"Campagne de sensibilisation";"Reglette LIFE";;;;;;;;;;;"Non renseigné";"";"Non renseigné"
