"ID Fiche Terrain";"Libellé Sortie";"ID Fiche Fréquentation";"Libellé Territoire";"Code Site";"Libellé Site";"Heure Comptage";"Nb Total";"Nb Adultes";"Nb Enfants";"Nb Pecheurs Site";"Nb Pecheurs Arrivee";"Nb Pecheurs Départ";"Présence Zone Interdite";"Nb Pecheurs Zone Interdite";"Type Interdiction";"Autres usages";"Commentaires"
429181;"2020-01-13-EPMO-FRE-008";429183;"Estuaires Picards et Mer d'Opale";"EPMO_32";"Pointe aux oies";"07:45";0;;;0;;;"Non renseigné";;;"";
429383;"2020-02-11-GONB-FRE-001";429384;"Golfe Normand Breton";"GONB_03D";"Le Vivier-sur-Mer - La Larronnière";"14:40";28;;;;;;"Non renseigné";;;"Conchyliculture | Pêche à pied professionnelle | Engins motorisés terrestres";"2 tracteurs 

La visibilité étant très réduite à cause du temps, le nombre total de pêcheurs est approximatif"
429385;"2020-02-11-GONB-FRE-002";429386;"Golfe Normand Breton";"GONB_02M";"Pointe du Grouin à la Pointe de la Chaine";"15:15";7;;;;;;"Non renseigné";;;"";"Un pêcheur était garé sur la plage 

1 pêcheur a relâché l’ensemble de sa pêche"
429387;"2020-02-11-GONB-FRE-003";429388;"Golfe Normand Breton";"GONB_03B";"Cancale - St-Benoît-des-Ondes";"14:45";54;;;;;;"Non renseigné";;;"Conchyliculture | Pêche à pied professionnelle";
429389;"2020-02-11-GONB-FRE-004";429390;"Golfe Normand Breton";"GONB_03C";"Hirel";"14:45";12;;;;;;"Oui";12;"Gisements fermés";"";
429391;"2020-02-11-GONB-FRE-005";429392;"Golfe Normand Breton";"GONB_03E";"Cherrueix - Banc des hermelles";"13:30";14;;;;;;"Non renseigné";;;"Engins motorisés terrestres";"13 tracteurs en direction des Hermelles 

Visibilité très réduite nous empêchant d'estimer correctement le nombre de pêcheurs à pied pour cause de mauvais temps"
429393;"2020-01-13-GONB-FRE-008";429394;"Golfe Normand Breton";"GONB_02M";"Pointe du Grouin à la Pointe de la Chaine";"14:50";0;;;;;;"Non renseigné";;;"";"8 bernaches

2 pers. de l'IFREMER sont remontés en bateau 

3 promeneurs"
429481;"2019-08-02-GONB-FRE-326";429482;"Golfe Normand Breton";"GONB_11A";"Nez de Jobourg au Sémaphore de la Hague";"15:30";12;;;;;;"Non renseigné";;;"";
429483;"2019-08-02-ECOT-FRE-326";429484;"Est Cotentin";"ECOT_03";"De la pointe de la Loge - la plage du Vicq";"17:50";10;;;;;;"Non renseigné";;;"";
429485;"2019-08-02-ECOT-FRE-328";429486;"Est Cotentin";"ECOT_02";"De la plage de la Mondrée - la pointe de la Loge";"17:20";24;;;;;;"Non renseigné";;;"";
