"ID Fiche Terrain";"Libellé Sortie";"ID Fiche Fréquentation";"Libellé Territoire";"Code Site";"Libellé Site";"Code Sous Site";"Libellé Sous Site";"Heure Comptage";"Type Activite";"Nb Total";"Nb Adultes";"Nb Enfants";"Autres usages";"Commentaires"
403960;"2018-09-05-GONB-FRE-026";403964;"Golfe Normand Breton";"GONB_12B";"Grêve des Marais - Grêve de Morlet";"GONB_Ra21";"La Herviais";"11:50";"total de pêcheurs à pied de loisir";0;;;"";
403960;"2018-09-05-GONB-FRE-026";403961;"Golfe Normand Breton";"GONB_12B";"Grêve des Marais - Grêve de Morlet";"GONB_Ra22";"Banche";"11:55";"total de pêcheurs à pied de loisir";0;;;"";
403960;"2018-09-05-GONB-FRE-026";403962;"Golfe Normand Breton";"GONB_12B";"Grêve des Marais - Grêve de Morlet";"GONB_Ra17";"Grève de Garel";"11:55";"total de pêcheurs à pied de loisir";1;;;"";"pêcheur sur fouisseur (à la main)"
403960;"2018-09-05-GONB-FRE-026";403963;"Golfe Normand Breton";"GONB_12B";"Grêve des Marais - Grêve de Morlet";"GONB_Ra23";"Grève de Morlet";"12:05";"total de pêcheurs à pied de loisir";0;;;"";
403981;"2018-09-05-GONB-FRE-035";403982;"Golfe Normand Breton";"GONB_12C";"Plaine de la Ville Ger et Bas Champs";"GONB_Ra31";"La Ville Ger";"12:35";"total de pêcheurs à pied de loisir";0;;;"";"7 pêcheurs pro sur palourdes"
403981;"2018-09-05-GONB-FRE-035";403983;"Golfe Normand Breton";"GONB_12C";"Plaine de la Ville Ger et Bas Champs";"GONB_Ra27";"Port Saint-Jean";"12:35";"total de pêcheurs à pied de loisir";0;;;"";
404068;"2018-09-06-GONB-FRE-018";404071;"Golfe Normand Breton";"GONB_12A";"Bras de Châteauneuf";"GONB_Ra12";"Val ès Bouillis";"13:50";"total de pêcheurs à pied de loisir";2;2;0;"";"2 sur fouisseurs avec râteaux"
404068;"2018-09-06-GONB-FRE-018";404069;"Golfe Normand Breton";"GONB_12A";"Bras de Châteauneuf";"GONB_Ra13";"Le Valion";"13:50";"total de pêcheurs à pied de loisir";0;;;"";
404068;"2018-09-06-GONB-FRE-018";404070;"Golfe Normand Breton";"GONB_12A";"Bras de Châteauneuf";"GONB_Ra18";"Pointe du Puits";"13:50";"total de pêcheurs à pied de loisir";12;;;"Conchyliculture";"12 sur fouisseurs "
404076;"2018-09-06-GONB-FRE-021";404080;"Golfe Normand Breton";"GONB_12B";"Grêve des Marais - Grêve de Morlet";"GONB_Ra23";"Grève de Morlet";"14:10";"total de pêcheurs à pied de loisir";3;3;0;"";"3 substrat dur + 2 pêcheurs appâts (vers marins)"
