"Libellé Sortie";"Code Enquète";"Commune résidence";"Département";"Pays";"De passage";"Commune séjour";"Durée séjour";"Hebergement";"Premier Séjour";"Fréquence Visites";"Influence Destination";"Influence Date";"Sexe - Pécheur";"Annee Naissance - Pécheur";"CSP - Pécheur";"Sexe - Autre membre";"Annee Naissance - Autre membre";"CSP - Autre membre";"Tri récolte";"Accueil";"Sensibilisation";"Remarques pécheur";"Précisions remarques"
"2018-05-16-EGMP-SEN-020";"2018-05-16_EGMP_121_357352";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_121_357358";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_121_357364";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_121_357370";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_121_357376";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";"Interrogation sur le quota de palourdes. "
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_121_357384";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";"Question: pourquoi autant d'interdiction de pêche à pied. "
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_121_357392";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Ressource/Environnement";"Question nidification plage. Question pêche à la ligne (bar)"
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_121_357398";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Ressource/Environnement";"Heureux de voir les mesures de protection des dunes. Très attentionné à la biodiversité. "
"2018-05-16-EGMP-SEN-028";"2018-05-16_EGMP_116_357404";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Ressource/Environnement";
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_116_357410";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Ressource/Environnement";
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_116_357416";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_116_357422";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_116_357428";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_116_357434";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_116_357440";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_116_357447";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_116_357478";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_116_357484";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_116_357490";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_116_357496";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";
