"Libellé Sortie";"Code Enquète";"Milieu(x)";"Espéces";"Outils ou techniques";"Conformité outil(s)";"Estimation Reglement";"Connaissance Reglement";"Premiere Peche";"Annee Premiere Peche";"Peche Chaque Annee";"Frequence Declaree Peche";"Mois de peche";"Nb Peches Annuelles";"Péche du jour";"Frequence Indiquee";"Espéces prélevées";"Prélèvement annuel poids";"Prélèvement annuel nombre";"Choix des marées";"Coefficient Maree Mini";"Coefficient Maree NSP";"Autre Sites fréquentés";"Départements";"Nom sites";"Motivation(s)";"Autres types de peche"
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_121_357398";"";"Crabes comestibles";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-16-EGMP-SEN-028";"2018-05-16_EGMP_116_357404";"";"Praire";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_116_357410";"";"Praire";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_116_357416";"";"Praire";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_116_357422";"";"Etrille";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_116_357428";"";"Etrille";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_116_357434";"";"Araignée de mer | Etrille";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_116_357440";"";"Araignée de mer | Etrille";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_116_357447";"";"Araignée de mer | Etrille";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_116_357478";"";"Crabes comestibles";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_116_357484";"";"Crabes comestibles";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_116_357490";"";"Araignée de mer | Crabes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_116_357496";"";"Crabes comestibles | Crevettes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-16-EGMP-SEN-041";"2018-05-16_EGMP_116_357502";"";"Patelles | Etrille";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_116_357508";"";"Etrille";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_116_357516";"";"Huitres";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_116_357523";"";"Huitres";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_116_357530";"";"Araignée de mer";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_116_357537";"";"Praire | Patelles | Araignée de mer | Etrille";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-17-EGMP-SEN-011";"2018-05-17_EGMP_129_357547";"";"Patelles | Autres poissons divers";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-17-EGMP-SEN-027";"2018-05-17_EGMP_129_357553";"";"Etrille | Céphalopodes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-28-EGMP-SEN-001";"2018-05-28_EGMP_132_357559";"";"Huitres";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-28-EGMP-SEN-011";"2018-05-28_EGMP_132_357565";"";"Crevettes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-28-EGMP-SEN-011";"2018-05-28_EGMP_132_357571";"";"Huitres | Crevettes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-28-EGMP-SEN-011";"2018-05-28_EGMP_132_357577";"";"Diverses espèces découverte";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-28-EGMP-SEN-011";"2018-05-28_EGMP_132_357584";"";"Patelles";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-28-EGMP-SEN-011";"2018-05-28_EGMP_132_357590";"";"Huitres";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-28-EGMP-SEN-011";"2018-05-28_EGMP_132_357596";"";"Oursins";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-28-EGMP-SEN-011";"2018-05-28_EGMP_132_357602";"";"Patelles";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-28-EGMP-SEN-011";"2018-05-28_EGMP_132_357609";"";"Crevettes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-28-EGMP-SEN-011";"2018-05-28_EGMP_132_357615";"";"Patelles";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-30-EGMP-SEN-005";"2018-05-30_EGMP_140_357622";"";"Palourdes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-30-EGMP-SEN-020";"2018-05-30_EGMP_140_357630";"";"Palourdes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-30-EGMP-SEN-020";"2018-05-30_EGMP_140_357638";"";"Palourdes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-30-EGMP-SEN-020";"2018-05-30_EGMP_140_357644";"";"Palourdes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-30-EGMP-SEN-020";"2018-05-30_EGMP_140_357650";"";"Palourdes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-30-EGMP-SEN-020";"2018-05-30_EGMP_140_357658";"";"Palourdes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-06-12-EGMP-SEN-001";"2018-06-12_EGMP_102_357668";"";"Coques";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-06-12-EGMP-SEN-014";"2018-06-12_EGMP_102_357675";"";"Coques";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-06-12-EGMP-SEN-014";"2018-06-12_EGMP_102_357681";"";"Coques";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-06-12-EGMP-SEN-014";"2018-06-12_EGMP_102_357688";"";"Coques";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-06-12-EGMP-SEN-014";"2018-06-12_EGMP_102_357694";"";"Coques";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-06-12-EGMP-SEN-014";"2018-06-12_EGMP_102_357701";"";"Coques";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-06-12-EGMP-SEN-014";"2018-06-12_EGMP_102_357707";"";"Coques";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-06-12-EGMP-SEN-014";"2018-06-12_EGMP_102_357713";"";"Coques";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-06-12-EGMP-SEN-014";"2018-06-12_EGMP_102_357720";"";"Coques";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-06-12-EGMP-SEN-014";"2018-06-12_EGMP_102_357726";"";"Coques";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-06-12-EGMP-SEN-014";"2018-06-12_EGMP_102_357732";"";"Coques";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-06-13-EGMP-SEN-021";"2018-06-13_EGMP_098_357739";"";"Palourdes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
