"Libellé Sortie";"Code Enquète";"Heure début récolte";"Temps passé récolte";"Temps total Peche";"Nb pêcheurs récolte";"Panier vide";"Conformité maille";" Conformité quantité";"Tri du panier";"Espece";"Poids récolte";"Nb individus";"Volume récolté";"Type évaluation";"Poids maille";"Nb maille";"Volume maille";"Type évaluation maille";"Taille échantillon"
"Arcouest_12/07/2014_Jérémy Allain_4";;;30;90;1;"Non";;;;"Palourdes";485.0;25;;;415.0;;;;
"Arcouest_12/07/2014_Jérémy Allain_5";;;;;2;"Non";;;;"Praire";2200.0;58;;;765.0;;;;
"Arcouest_12/07/2014_Jérémy Allain_5";;;;;2;"Non";;;;"Palourdes";1500.0;;;;;;;;
"Arcouest_12/07/2014_Olivier Massard_1";;;30;110;1;"Non";;;;"Palourdes";;1;;;19.39;;;;
"Arcouest_12/07/2014_Olivier Massard_1";;;30;110;1;"Non";;;;"Coques";18.82;2;;;18.82;;;;
"Arcouest_12/07/2014_Olivier Massard_1";;;30;110;1;"Non";;;;"Huître creuse";0.26086000000000004;2;;;260.86;;;;
"Arcouest_12/07/2014_Olivier Massard_2";;;60;120;1;"Oui";;;
"Arcouest_12/07/2014_Olivier Massard_3";;;120;180;1;"Non";;;;"Palourdes";599.54;35;;;504.14;;;;
"Arcouest_12/07/2014_Olivier Massard_3";;;120;180;1;"Non";;;;"Praire";583.56;24;;;501.84;;;;
"Arcouest_12/07/2014_Olivier Massard_4";;;130;130;1;"Non";;;;"Etrille";227.88;2;;;227.88;;;;
"Arcouest_12/07/2014_Olivier Massard_5";;;110;110;1;"Non";;;;"Praire";278.8;10;;;278.8;;;;
"Arcouest_13/07/2014_Franck Delisle_1";;;10;70;1;"Oui";;;
"Arcouest_13/07/2014_Franck Delisle_2";;;55;75;1;"Non";;;;"Etrille";113.94;1;;;113.94;;;;
"Arcouest_13/07/2014_Franck Delisle_3";;;;;1;"Oui";;;
"Arcouest_13/07/2014_Franck Delisle_4";;;15;15;1;"Oui";;;
"Arcouest_13/07/2014_Franck Delisle_5";;;;;;"Oui";;;
