"Libellé Sortie";"Code Enquète";"Commune résidence";"Département";"Pays";"De passage";"Commune séjour";"Durée séjour";"Hebergement";"Premier Séjour";"Fréquence Visites";"Influence Destination";"Influence Date";"Sexe - Pécheur";"Annee Naissance - Pécheur";"CSP - Pécheur";"Sexe - Autre membre";"Annee Naissance - Autre membre";"CSP - Autre membre";"Tri récolte";"Accueil";"Sensibilisation";"Remarques pécheur";"Précisions remarques"
"2018-07-16_GONB_01A_361325";"2018-07-16-GONB-SEN-044";"PARIS 01";;;"en séjour sur une commune";"ST CAST LE GUILDO";15;"Camping car";"Non";2.5;"Oui, en partie";"Non, secondaire";"F";1961;"0_Non Renseigné";"M";1962;"0_Non Renseigné";"Tri partiel";"Bon";"Oui";"";
"2018-07-16_GONB_01A_361333";"2018-07-16-GONB-SEN-045";"BRUZ";;;"pour la journée";;;;"Non";2.5;;;"F";1951;"5_Employés";"M";2010;"0_Non Renseigné";"Tri partiel";"Bon";"Oui";"";
"2018-07-16_GONB_01A_361333";"2018-07-16-GONB-SEN-045";"BRUZ";;;"pour la journée";;;;"Non";2.5;;;"F";1951;"5_Employés";"M";2007;"0_Non Renseigné";"Tri partiel";"Bon";"Oui";"";
"2018-07-16_GONB_01A_361333";"2018-07-16-GONB-SEN-045";"BRUZ";;;"pour la journée";;;;"Non";2.5;;;"F";1951;"5_Employés";"M";1953;"2-21_Artisans";"Tri partiel";"Bon";"Oui";"";
"2018-06-13-GUER-SEN-044";"2018-06-13_GUER_3B_361406";"PORNICHET";;;"en séjour sur une commune";;;;;;;;"M";1951;"7-72-72_Anciens artisans, commerçants. chefs d'entreprise";;;;"Récolte non vérifiée";"Bon";"Oui";"";
"2018-06-13_GUER_3B_361397";"2018-06-13-GUER-SEN-045";"PORNIC";;;"pour la journée";;;;;;;;"F";1948;"7-76-77_Anciens employés";"M";1946;"7-76-77_Anciens employés";"Récolte non vérifiée";"Bon";"Oui";"";
"2018-06-13_GUER_3B_361420";"2018-06-13-GUER-SEN-045";"LA BARRE DE MONTS";;;"pour la journée";;;;;;;;"M";1946;"7-71-71_Anciens agriculteurs exploitants";"F";1948;"7_Retraités";"Récolte non vérifiée";"Bon";"Moyen";"";
"2018-06-13_GUER_3B_361428";"2018-06-13-GUER-SEN-046";"VERSAILLES";;;"en séjour sur une commune";;;"Camping car";;;;;"M";1951;"0_Non Renseigné";"F";1956;"7-73-74_Anciens cadres";"Récolte non vérifiée";"Moyen";"Moyen";"";
"2018-06-13_GUER_3B_361428";"2018-06-13-GUER-SEN-046";"VERSAILLES";;;"en séjour sur une commune";;;"Camping car";;;;;"M";1951;"0_Non Renseigné";"F";1984;"5_Employés";"Récolte non vérifiée";"Moyen";"Moyen";"";
"2018-07-13-GONB-SEN-029";"2018-07-13_GONB_01A_361991";"PLEVENON";;;"en séjour sur une commune";;;;;;;;"F";1950;"7-71-71_Anciens agriculteurs exploitants";;;;"Tri partiel";"Bon";"Oui";"";
"2018-07-13-GONB-SEN-032";"2018-07-13_GONB_01A_362161";"NICE";;;"en séjour sur une commune";"ST CAST LE GUILDO";;"Camping car";"Non";1.0;"Oui, en partie";"Non, secondaire";"F";1959;"0_Non Renseigné";;;;"Tri complet";"Bon";"Oui";"";
"2018-07-13_GONB_01A_362243";"2018-07-13-GONB-SEN-032";"PARIS 03";;;"en séjour sur une commune";"ST CAST LE GUILDO";10;"Camping car";"Oui";;"Non, secondaire";"Non, secondaire";"M";1957;"0_Non Renseigné";"M";2005;;"Tri partiel";"Bon";"Oui";"";
"2018-07-13_GONB_01A_362243";"2018-07-13-GONB-SEN-032";"PARIS 03";;;"en séjour sur une commune";"ST CAST LE GUILDO";10;"Camping car";"Oui";;"Non, secondaire";"Non, secondaire";"M";1957;"0_Non Renseigné";"M";2012;;"Tri partiel";"Bon";"Oui";"";
