"Libellé Sortie";"Code Enquète";"Milieu(x)";"Espéces";"Outils ou techniques";"Conformité outil(s)";"Estimation Reglement";"Connaissance Reglement";"Premiere Peche";"Annee Premiere Peche";"Peche Chaque Annee";"Frequence Declaree Peche";"Mois de peche";"Nb Peches Annuelles";"Péche du jour";"Frequence Indiquee";"Espéces prélevées";"Prélèvement annuel poids";"Prélèvement annuel nombre";"Choix des marées";"Coefficient Maree Mini";"Coefficient Maree NSP";"Autre Sites fréquentés";"Départements";"Nom sites";"Motivation(s)";"Autres types de peche"
"Arcouest_13/07/2014_Jean-Pierre Guillosson_5";"";"";"Palourdes croisées | Praire";"Rateau  ";"";"Ne Sait Pas";"Non";"Non";"1994";"Oui";"";"Jan | Fev | Mar | Avr | Mai | Juin | Juil | Aou | Sep | Oct | Nov | Dec";"4";"Principale (>60%)";"";"";"";"";"Uniquement en week-end/vacances";"";"";"Non";"";"";"Qualité des produits | Plaisir : aspect ludique";"En bateau : Ligne | Eaux douces"
"Arcouest_13/07/2014_Olivier Massard_1";"";"";"Etrille";"Epuisette (générique)";"";"";"Non";"Non";"1987";"Oui";"";"Jan | Fev | Mar | Avr | Mai | Juin | Juil | Aou | Sep | Oct | Nov | Dec";"2";"Seule pratique";"";"";"";"";"Uniquement en week-end/vacances | Uniquement aux grandes marées";"95";"";"Oui";"";"Paimpol > Beauport";"Paysage et bon air | Plaisir : aspect ludique";"Aucune autre pêche"
"Arcouest_13/07/2014_Olivier Massard_2";"";"Flaques rocheuses";"Crevettes";"Epuisette (générique)";"";"";"Non Renseigné";"";"";"Non Renseigné";"";"";"";"";"";"";"";"";"";"";"";"Non Renseigné";"";"";"";"Aucune autre pêche"
"Arcouest_13/07/2014_Olivier Massard_3";"";"";"Palourdes croisées | Praire | Etrille";"Binette";"";"";"Non Renseigné";"Non";"1964";"Oui";"";"Avr | Mai | Juin | Juil | Aou | Sep";"5";"Principale (>60%)";"";"";"";"";"N'importe quel jour de la semaine | Uniquement aux grandes marées | Lorsque la météo favorable";"95";"";"Oui";"";"Pointe de Guilben. Port Lazo";"Paysage et bon air";"En bateau : Ligne | Du  bord : Chasse sous-marine"
"Arcouest_13/07/2014_Olivier Massard_4";"";"";"Praire | Coquille Saint-Jacques | Etrille";"Rateau  ";"";"";"Non";"Non";"1999";"Non";"0.0666666666666667";"";"1";"";"";"";"";"";"Uniquement en week-end/vacances | Uniquement aux grandes marées | Lorsque la météo favorable";"100";"";"Non";"";"";"Plaisir : aspect ludique";"Aucune autre pêche"
"Arcouest_13/07/2014_Olivier Massard_5";"";"";"";"";"";"";"Non Renseigné";"";"";"Non Renseigné";"";"";"";"";"";"";"";"";"";"";"";"Non Renseigné";"";"";"";"Aucune autre pêche"
"Arcouest_13/07/2014_Olivier Massard_6";"";"";"Praire";"Fourche";"";"Oui";"Non";"Non";"2009";"Oui";"";"Jan | Fev | Mar | Avr | Mai | Juin | Juil | Aou | Sep | Oct | Nov | Dec";"4";"Principale (>60%)";"";"";"";"";"N'importe quel jour de la semaine | Uniquement aux grandes marées";"100";"";"Oui";"";"Plouézec. 56 (NR)";"Paysage et bon air";"Aucune autre pêche"
"Arcouest_13/07/2014_Olivier Massard_7";"";"";"Palourdes croisées | Praire";"Griffe à dents";"";"";"Non Renseigné";"";"";"Non Renseigné";"";"";"";"";"";"";"";"";"";"";"";"Non Renseigné";"";"";"";"Aucune autre pêche"
"Arcouest_13/08/2014_Franck Delisle+Jérémy Allain_1";"";"";"";"Crochet/croc";"";"";"Non Renseigné";"";"";"Non Renseigné";"";"";"";"";"";"";"";"";"";"";"";"Non Renseigné";"";"";"";"Aucune autre pêche"
"Arcouest_13/08/2014_Franck Delisle+Jérémy Allain_2";"";"";"";"Epuisette (générique)";"";"";"Non Renseigné";"";"";"Non Renseigné";"";"";"";"";"";"";"";"";"";"";"";"Non Renseigné";"";"";"";"Aucune autre pêche"
